rank,name,postcode,address,rating,reviewCount,removedRange,removedMin,removedMax,removedEstimate,deletionRatioPct,realRatingAdjusted,removedText,url
33,Headline Friseursalon,76131,,4.8,274,21–50,21,50,35.5,11.47,4.364,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Headline+Friseursalon/data=!4m7!3m6!1s0x4797065a04013551:0xbfbbde1ff45a8dc1!8m2!3d49.0089915!4d8.391854!16s%2Fg%2F1tff1zrg!19sChIJUTUBBFoGl0cRwY1a9B_eu78?authuser=0&hl=de&rclk=1
34,Badische Weinstuben im Botanischen Garten Karlsruhe,76131,,4.5,229,21–50,21,50,35.5,13.42,4.03,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Badische+Weinstuben+im+Botanischen+Garten+Karlsruhe/data=!4m7!3m6!1s0x4797064ddf587e9d:0x5df9d29668064ffc!8m2!3d49.0139122!4d8.4010247!16s%2Fg%2F1tnbk26q!19sChIJnX5Y300Gl0cR_E8GaJbS-V0?authuser=0&hl=de&rclk=1
35,Hautärzte am Marktplatz,76131,,4.6,225,21–50,21,50,35.5,13.63,4.109,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Haut%C3%A4rzte+am+Marktplatz/data=!4m7!3m6!1s0x47970648b5ac260d:0x6ffca3e4789d63e5!8m2!3d49.0096787!4d8.4042634!16s%2Fg%2F12m9kkxlw!19sChIJDSastUgGl0cR5WOdeOSj_G8?authuser=0&hl=de&rclk=1
36,"""Die Pinte"" Nichtraucher Kult Kneipe - Pub - Sportsbar - Drinks & Snacks - 20% Studenten Rabatt - Happy Hour -Terrasse",76131,,4.5,217,21–50,21,50,35.5,14.06,4.008,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/%22Die+Pinte%22+Nichtraucher+Kult+Kneipe+-+Pub+-+Sportsbar+-+Drinks+%26+Snacks+-+20%25+Studenten+Rabatt+-+Happy+Hour+-Terrasse/data=!4m7!3m6!1s0x47970659965f5981:0x89ed6058b79e38f9!8m2!3d49.0079435!4d8.3896897!16s%2Fg%2F1tmxpz3g!19sChIJgVlfllkGl0cR-Tiet1hg7Yk?authuser=0&hl=de&rclk=1
37,Gentlemen’s Barber 76,76131,,4.7,217,21–50,21,50,35.5,14.06,4.18,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Gentlemen%E2%80%99s+Barber+76/data=!4m7!3m6!1s0x4797064fbf778819:0xa8c14efe1b55f60a!8m2!3d49.010296!4d8.39973!16s%2Fg%2F11fx4430v4!19sChIJGYh3v08Gl0cRCvZVG_5Owag?authuser=0&hl=de&rclk=1
38,e-training Fitnessclub & Personal Training Premium Plus Karlsruhe,76131,,4.7,135,21–50,21,50,35.5,20.82,3.93,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/e-training+Fitnessclub+%26+Personal+Training+Premium+Plus+Karlsruhe/data=!4m7!3m6!1s0x479706d9a88c8bed:0xcdf13f687b2549b5!8m2!3d49.0193041!4d8.3525641!16s%2Fg%2F1th1s_dp!19sChIJ7YuMqNkGl0cRtUkle2g_8c0?authuser=0&hl=de&rclk=1
39,Adria Pizzaservice,76131,,4.6,112,21–50,21,50,35.5,24.07,3.734,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Adria+Pizzaservice/data=!4m7!3m6!1s0x479706304be69041:0x14dd1d4e85209f63!8m2!3d49.0095232!4d8.4215024!16s%2Fg%2F1v44cxqx!19sChIJQZDmSzAGl0cRY58ghU4d3RQ?authuser=0&hl=de&rclk=1
40,Zahnwelt am Europaplatz,76131,,4.5,48,21–50,21,50,35.5,42.51,3.012,21 bis 50 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Zahnwelt+am+Europaplatz/data=!4m7!3m6!1s0x479706507b47eefd:0xa0763fe82594114b!8m2!3d49.0097984!4d8.3952293!16s%2Fg%2F1tr7hb09!19sChIJ_e5He1AGl0cRSxGUJeg_dqA?authuser=0&hl=de&rclk=1
41,Braustübl Hatz-Moninger,76131,,4.6,1303,11–20,11,20,15.5,1.18,4.558,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Braust%C3%BCbl+Hatz-Moninger/data=!4m7!3m6!1s0x479706c06b228a9b:0x14f27171ca7fd36a!8m2!3d49.00295!4d8.3559222!16s%2Fg%2F1hhn_1glc!19sChIJm4oia8AGl0cRatN_ynFx8hQ?authuser=0&hl=de&rclk=1
42,Medermis MVZ Karlsruhe GmbH,76131,,4.9,1107,11–20,11,20,15.5,1.38,4.846,11 bis 20 Bewertungen aufgrund von Beschwerden wegen Diffamierung entfernt.,https://www.google.com/maps/place/Medermis+MVZ+Karlsruhe+GmbH/data=!4m7!3m6!1s0x4797064feba24acb:0x6fd006103bbae6ec!8m2!3d49.0101726!4d8.3994429!16s%2Fg%2F1hhhml2wy!19sChIJy0qi608Gl0cR7Oa6OxAG0G8?authuser=0&hl=de&rclk=1
